"","State","state.counts","State.y","Population","Deaths"
"1","AA",1,NA,NA,NA
"2","AE",2,NA,NA,NA
"3","AK",39,"Alaska","735,132","124"
"4","AL",344,"Alabama","4,833,722","723"
"5","AR",216,"Arkansas","2,959,373","356"
"6","AZ",509,"Arizona","6,626,624","1,211"
"7","CA",2562,"California","38,332,521","4,521"
"8","CO",393,"Colorado","5,268,367","899"
"9","CT",388,"Connecticut","3,596,080","623"
"10","DC",79,NA,NA,NA
"11","DE",91,"Delaware","925,749","189"
"12","FL",1570,"Florida","19,552,860","2,634"
"13","GA",613,"Georgia","9,992,167","1,206"
"14","GU",2,NA,NA,NA
"15","HI",91,"Hawaii","1,404,054","157"
"16","IA",225,"Iowa","3,090,416","264"
"17","ID",133,"Idaho","1,612,136","212"
"18","IL",1002,"Illinois","12,882,135","1,705"
"19","IN",533,"Indiana","6,570,902","1,172"
"20","KS",203,"Kansas","2,893,957","332"
"21","KY",367,"Kentucky","4,395,295","1,077"
"22","LA",354,"Louisiana","4,625,470","777"
"23","MA",725,"Massachusetts","6,692,824","1,289"
"24","MD",509,"Maryland","5,928,814","1,070"
"25","ME",147,"Maine","1,328,302","216"
"26","MI",872,"Michigan","9,895,622","1,762"
"27","MN",448,"Minnesota","5,420,380","517"
"28","MO",483,"Missouri","6,044,171","1,067"
"29","MS",193,"Mississippi","2,991,207","336"
"30","MT",77,"Montana","1,015,165","125"
"31","NC",778,"North Carolina","9,848,060","1,358"
"32","ND",66,"North Dakota","723,393","43"
"33","NE",137,"Nebraska","1,868,516","125"
"34","NH",119,"New Hampshire","1,323,459","334"
"35","NJ",649,"New Jersey","8,899,339","1,253"
"36","NM",166,"New Mexico","2,085,287","547"
"37","NV",155,"Nevada","2,790,136","545"
"38","NY",1956,"New York","19,651,127","2,300"
"39","OH",981,"Ohio","11,570,808","2,744"
"40","OK",281,"Oklahoma","3,850,568","777"
"41","OR",344,"Oregon","3,930,065","522"
"42","PA",1211,"Pennsylvania","12,773,801","2,732"
"43","PR",231,NA,NA,NA
"44","RI",117,"Rhode Island","1,051,511","247"
"45","SC",390,"South Carolina","4,774,839","701"
"46","SD",83,"South Dakota","844,877","63"
"47","TN",552,"Tennessee","6,495,978","1,269"
"48","TX",1500,"Texas","26,448,193","2,601"
"49","UT",162,"Utah","2,900,872","603"
"50","VA",568,"Virginia","8,260,405","980"
"51","VI",3,NA,NA,NA
"52","VT",65,"Vermont","626,630","83"
"53","WA",578,"Washington","6,971,406","979"
"54","WI",498,"Wisconsin","5,742,713","853"
"55","WV",199,"West Virginia","1,854,304","627"
"56","WY",38,"Wyoming","582,658","109"
"57","ZZ",2,NA,NA,NA
